LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,MONTH,Value,Flag Codes
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,1,100.6024,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,2,100.6233,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,3,100.6522,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,4,100.6385,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,5,100.6189,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,6,100.6255,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,7,100.571,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,8,100.4064,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,9,100.1164,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,10,99.91333,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,11,99.7904,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1990,12,99.69462,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,1,99.61967,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,2,99.71673,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,3,99.90305,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,4,99.93047,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,5,99.86081,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,6,99.72272,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,7,99.62635,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,8,99.61572,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,9,99.65972,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,10,99.64779,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,11,99.61658,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1991,12,99.5965,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,1,99.64288,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,2,99.75073,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,3,99.85357,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,4,99.94115,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,5,99.95662,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,6,99.88944,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,7,99.82013,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,8,99.83696,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,9,99.92481,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,10,99.94831,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,11,99.86485,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1992,12,99.77625,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,1,99.72651,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,2,99.76022,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,3,99.83699,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,4,99.8579,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,5,99.66395,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,6,99.49642,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,7,99.37865,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,8,99.37378,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,9,99.47684,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,10,99.57456,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,11,99.64314,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1993,12,99.75581,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,1,99.86382,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,2,99.89439,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,3,99.8984,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,4,100.0198,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,5,100.2359,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,6,100.4014,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,7,100.4989,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,8,100.5781,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,9,100.6588,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,10,100.6666,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,11,100.6531,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1994,12,100.6373,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,1,100.5746,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,2,100.4924,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,3,100.4478,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,4,100.5347,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,5,100.7474,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,6,100.8791,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,7,100.7904,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,8,100.518,
FRA,CCI,AMPLITUD,LTRENDIDX,M,1995,9,100.0631,
