"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.218349,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.458993,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.267658,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.50324,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.0402,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.55059,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.189028,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.6433,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.929334,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.36592,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.128546,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.389673,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.680332,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.090021,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.320703,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.887423,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.158054,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.654611,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.331058,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.403649,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.022084,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.040528,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.347557,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.557043,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.188422,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.569221,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.85634,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.645854,
"JPN","QGDP","TOT","PC_CHGPP","A","1990",5.572398,"E"
"JPN","QGDP","TOT","PC_CHGPP","A","1991",3.324341,"E"
"JPN","QGDP","TOT","PC_CHGPP","A","1992",0.819008,"E"
"JPN","QGDP","TOT","PC_CHGPP","A","1993",0.171063,"E"
"JPN","QGDP","TOT","PC_CHGPP","A","1994",0.8636,
"JPN","QGDP","TOT","PC_CHGPP","A","1995",2.742117,
"JPN","QGDP","TOT","PC_CHGPP","A","1996",3.100023,
"JPN","QGDP","TOT","PC_CHGPP","A","1997",1.076045,
"JPN","QGDP","TOT","PC_CHGPP","A","1998",-1.12841,
"JPN","QGDP","TOT","PC_CHGPP","A","1999",-0.251954,
"JPN","QGDP","TOT","PC_CHGPP","A","2000",2.779633,
"JPN","QGDP","TOT","PC_CHGPP","A","2001",0.406358,
"JPN","QGDP","TOT","PC_CHGPP","A","2002",0.117971,
"JPN","QGDP","TOT","PC_CHGPP","A","2003",1.52822,
"JPN","QGDP","TOT","PC_CHGPP","A","2004",2.204709,
"JPN","QGDP","TOT","PC_CHGPP","A","2005",1.662629,
"JPN","QGDP","TOT","PC_CHGPP","A","2006",1.419986,
"JPN","QGDP","TOT","PC_CHGPP","A","2007",1.654205,
"JPN","QGDP","TOT","PC_CHGPP","A","2008",-1.093521,
"JPN","QGDP","TOT","PC_CHGPP","A","2009",-5.416413,
"JPN","QGDP","TOT","PC_CHGPP","A","2010",4.191739,
"JPN","QGDP","TOT","PC_CHGPP","A","2011",-0.115442,
"JPN","QGDP","TOT","PC_CHGPP","A","2012",1.49511,
"JPN","QGDP","TOT","PC_CHGPP","A","2013",2.000268,
"JPN","QGDP","TOT","PC_CHGPP","A","2014",0.374739,
"JPN","QGDP","TOT","PC_CHGPP","A","2015",1.222921,
"JPN","QGDP","TOT","PC_CHGPP","A","2016",0.609074,
"JPN","QGDP","TOT","PC_CHGPP","A","2017",1.936121,
"KOR","QGDP","TOT","PC_CHGPP","A","1990",9.811232,
"KOR","QGDP","TOT","PC_CHGPP","A","1991",10.353978,
"KOR","QGDP","TOT","PC_CHGPP","A","1992",6.175462,
"KOR","QGDP","TOT","PC_CHGPP","A","1993",6.846808,
"KOR","QGDP","TOT","PC_CHGPP","A","1994",9.206121,
"KOR","QGDP","TOT","PC_CHGPP","A","1995",9.570587,
"KOR","QGDP","TOT","PC_CHGPP","A","1996",7.594526,
"KOR","QGDP","TOT","PC_CHGPP","A","1997",5.922171,
"KOR","QGDP","TOT","PC_CHGPP","A","1998",-5.471192,
"KOR","QGDP","TOT","PC_CHGPP","A","1999",11.308605,
"KOR","QGDP","TOT","PC_CHGPP","A","2000",8.924413,
"KOR","QGDP","TOT","PC_CHGPP","A","2001",4.8524,
"KOR","QGDP","TOT","PC_CHGPP","A","2002",7.725143,
"KOR","QGDP","TOT","PC_CHGPP","A","2003",3.147291,
"KOR","QGDP","TOT","PC_CHGPP","A","2004",5.197391,
"KOR","QGDP","TOT","PC_CHGPP","A","2005",4.308534,
"KOR","QGDP","TOT","PC_CHGPP","A","2006",5.264336,
"KOR","QGDP","TOT","PC_CHGPP","A","2007",5.799548,
"KOR","QGDP","TOT","PC_CHGPP","A","2008",3.012985,
"KOR","QGDP","TOT","PC_CHGPP","A","2009",0.792699,
"KOR","QGDP","TOT","PC_CHGPP","A","2010",6.804825,
"KOR","QGDP","TOT","PC_CHGPP","A","2011",3.685668,
"KOR","QGDP","TOT","PC_CHGPP","A","2012",2.402531,
"KOR","QGDP","TOT","PC_CHGPP","A","2013",3.164709,
"KOR","QGDP","TOT","PC_CHGPP","A","2014",3.202454,
