"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","A","1990",6.923,
"AUS","UNEMP","TOT","PC_LF","A","1991",9.576522,
"AUS","UNEMP","TOT","PC_LF","A","1992",10.72814,
"AUS","UNEMP","TOT","PC_LF","A","1993",10.87467,
"AUS","UNEMP","TOT","PC_LF","A","1994",9.72219,
"AUS","UNEMP","TOT","PC_LF","A","1995",8.472281,
"AUS","UNEMP","TOT","PC_LF","A","1996",8.506114,
"AUS","UNEMP","TOT","PC_LF","A","1997",8.362488,
"AUS","UNEMP","TOT","PC_LF","A","1998",7.677429,
"AUS","UNEMP","TOT","PC_LF","A","1999",6.873791,
"AUS","UNEMP","TOT","PC_LF","A","2000",6.285546,
"AUS","UNEMP","TOT","PC_LF","A","2001",6.742173,
"AUS","UNEMP","TOT","PC_LF","A","2002",6.368911,
"AUS","UNEMP","TOT","PC_LF","A","2003",5.92842,
"AUS","UNEMP","TOT","PC_LF","A","2004",5.396734,
"AUS","UNEMP","TOT","PC_LF","A","2005",5.033881,
"AUS","UNEMP","TOT","PC_LF","A","2006",4.78524,
"AUS","UNEMP","TOT","PC_LF","A","2007",4.379151,
"AUS","UNEMP","TOT","PC_LF","A","2008",4.23433,
"AUS","UNEMP","TOT","PC_LF","A","2009",5.560385,
"AUS","UNEMP","TOT","PC_LF","A","2010",5.21334,
"AUS","UNEMP","TOT","PC_LF","A","2011",5.081195,
"AUS","UNEMP","TOT","PC_LF","A","2012",5.223376,
"AUS","UNEMP","TOT","PC_LF","A","2013",5.66194,
"AUS","UNEMP","TOT","PC_LF","A","2014",6.077244,
"AUS","UNEMP","TOT","PC_LF","A","2015",6.056423,
"AUS","UNEMP","TOT","PC_LF","A","2016",5.710301,
"AUS","UNEMP","TOT","PC_LF","A","2017",5.59376,
"AUS","UNEMP","TOT","PC_LF","A","2018",5.299861,
"CAN","UNEMP","TOT","PC_LF","A","1990",8.15,
"CAN","UNEMP","TOT","PC_LF","A","1991",10.325,
"CAN","UNEMP","TOT","PC_LF","A","1992",11.19167,
"CAN","UNEMP","TOT","PC_LF","A","1993",11.4,
"CAN","UNEMP","TOT","PC_LF","A","1994",10.41667,
"CAN","UNEMP","TOT","PC_LF","A","1995",9.508333,
"CAN","UNEMP","TOT","PC_LF","A","1996",9.608334,
"CAN","UNEMP","TOT","PC_LF","A","1997",9.116667,
"CAN","UNEMP","TOT","PC_LF","A","1998",8.283334,
"CAN","UNEMP","TOT","PC_LF","A","1999",7.591667,
"CAN","UNEMP","TOT","PC_LF","A","2000",6.816667,
"CAN","UNEMP","TOT","PC_LF","A","2001",7.216667,
"CAN","UNEMP","TOT","PC_LF","A","2002",7.675,
"CAN","UNEMP","TOT","PC_LF","A","2003",7.575,
"CAN","UNEMP","TOT","PC_LF","A","2004",7.191667,
"CAN","UNEMP","TOT","PC_LF","A","2005",6.758333,
"CAN","UNEMP","TOT","PC_LF","A","2006",6.333333,
"CAN","UNEMP","TOT","PC_LF","A","2007",6.05,
"CAN","UNEMP","TOT","PC_LF","A","2008",6.141667,
"CAN","UNEMP","TOT","PC_LF","A","2009",8.35,
"CAN","UNEMP","TOT","PC_LF","A","2010",8.058333,
"CAN","UNEMP","TOT","PC_LF","A","2011",7.525,
"CAN","UNEMP","TOT","PC_LF","A","2012",7.291667,
"CAN","UNEMP","TOT","PC_LF","A","2013",7.083333,
"CAN","UNEMP","TOT","PC_LF","A","2014",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2015",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2016",6.991667,
"CAN","UNEMP","TOT","PC_LF","A","2017",6.341667,
"CAN","UNEMP","TOT","PC_LF","A","2018",5.833333,
"FRA","UNEMP","TOT","PC_LF","A","2003",8.099563,
"FRA","UNEMP","TOT","PC_LF","A","2004",8.468398,"B"
"FRA","UNEMP","TOT","PC_LF","A","2005",8.493855,
"FRA","UNEMP","TOT","PC_LF","A","2006",8.449007,
"FRA","UNEMP","TOT","PC_LF","A","2007",7.658579,
"FRA","UNEMP","TOT","PC_LF","A","2008",7.062972,
"FRA","UNEMP","TOT","PC_LF","A","2009",8.735972,
"FRA","UNEMP","TOT","PC_LF","A","2010",8.871792,
"FRA","UNEMP","TOT","PC_LF","A","2011",8.811044,
"FRA","UNEMP","TOT","PC_LF","A","2012",9.399351,
"FRA","UNEMP","TOT","PC_LF","A","2013",9.921325,"B"
"FRA","UNEMP","TOT","PC_LF","A","2014",10.29171,
"FRA","UNEMP","TOT","PC_LF","A","2015",10.35981,
"FRA","UNEMP","TOT","PC_LF","A","2016",10.05661,
"FRA","UNEMP","TOT","PC_LF","A","2017",9.398605,
