"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.1036,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.0879,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",100.9595,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.7443,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.6172,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.6469,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",100.805,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",100.9366,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.073,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.1819,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.0316,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.5522,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.8687,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.54487,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.61944,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.92995,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.1558,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.2139,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.1501,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.0815,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0249,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.96514,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.91188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.84161,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.75097,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.72697,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.68465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.62644,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.56677,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.47263,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.3232,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.2041,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.10368,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",99.03223,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.12234,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0196,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.3887,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.4405,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.2924,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.1418,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.0609,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0298,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.0174,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0126,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0364,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.1467,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.415,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",100.8155,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.0747,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.0949,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.9298,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.7647,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.6105,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.4693,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.3705,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.277,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.1836,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.211,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",100.4636,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",100.8846,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.1208,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.043,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",100.7452,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.5051,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.375,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.3052,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.2735,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.2377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",100.1671,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",100.078,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",99.98718,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",99.88321,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",99.81699,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",99.77063,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",99.72353,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",99.69884,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",99.69283,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.69958,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.717,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.74009,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.7435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.65848,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-12",99.36943,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-01",98.91662,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-02",98.54987,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-03",98.24007,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-04",97.92821,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-05",97.71754,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-06",97.59711,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-07",97.53474,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-08",97.47979,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-09",97.42554,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-10",97.34647,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-11",97.25253,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-12",97.15047,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-01",97.02022,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-02",96.91685,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-03",96.86556,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-04",96.84732,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-05",96.85021,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-06",96.88764,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-07",96.99545,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-08",97.07683,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-09",97.1475,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-10",97.25433,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-11",97.28706,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-12",97.22433,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-01",97.10111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-02",97.07136,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-03",97.17821,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-04",97.38377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-05",97.46225,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-06",97.38276,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-07",97.23078,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-08",97.05241,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-09",96.88855,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-10",96.71806,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-11",96.62157,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-12",96.59895,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-01",96.66581,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-02",96.7585,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-03",96.9025,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-04",97.1198,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-05",97.28486,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-06",97.37803,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-07",97.43808,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1983-08",97.4691,
